step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
13800,3.8886,48.8,,,0.00014455725003688217,,50491,15.64,9131.9
13850,3.7267,41.5,,,0.00014371245556072,,49985,15.64,9164.7
13900,3.5302,34.1,,,0.00014286851508974407,,50259,15.64,9197.3
13950,3.2775,26.5,,,0.0001420254624808203,,50244,15.64,9229.9
14000,3.8269,45.9,3.8917,49.0,0.0001411833315551959,,45733,15.64,9265.7
14050,3.9785,53.4,,,0.00014034215609714203,,50251,15.64,9298.3
14100,4.0089,55.1,,,0.0001395019698525992,,50171,15.64,9330.9
14150,3.7254,41.5,,,0.00013866280652782267,,50465,15.64,9363.4
14200,3.8798,48.4,,,0.00013782469978803084,,50423,15.64,9395.9
14250,3.5462,34.7,3.8978,49.3,0.0001369876832560545,,46598,15.64,9431.1
14300,3.7837,44.0,,,0.0001361517905109876,,49926,15.64,9463.9
14350,3.9115,50.0,,,0.00013531705508684088,,50252,15.64,9496.5
14400,3.9086,49.8,,,0.00013448351047119577,,50267,15.64,9529.1
14450,3.9589,52.4,,,0.0001336511901038616,,50261,15.64,9561.7
14500,3.8891,48.9,3.94,51.4,0.0001328201273755336,,46458,15.64,9596.9
14550,3.9263,50.7,,,0.0001319903556264537,,50243,15.64,9629.6
14600,3.7226,41.4,,,0.0001311619081450727,,50271,15.64,9662.1
14650,3.7408,42.1,,,0.00013033481816671508,,50452,15.64,9694.6
14700,3.7696,43.4,,,0.00012950911887224544,,50456,15.64,9727.1
14750,3.9462,51.7,3.8918,49.0,0.00012868484338673762,,46585,15.64,9762.3
14800,3.8153,45.4,,,0.00012786202477814545,,50436,15.64,9794.7
14850,3.7447,42.3,,,0.00012704069605597664,,50440,15.64,9827.2
14900,3.9184,50.3,,,0.00012622089016996795,,50433,15.64,9859.7
14950,4.0662,58.3,,,0.00012540264000876383,,50436,15.64,9892.2
15000,3.6907,40.1,3.9662,52.8,0.00012458597839859665,,46558,15.64,9927.4
15050,3.794,44.4,,,0.00012377093810197004,,50455,15.64,9959.9
15100,3.7624,43.0,,,0.00012295755181634423,,50459,15.64,9992.3
15150,3.8237,45.8,,,0.00012214585217282475,,50449,15.64,10024.8
15200,3.7313,41.7,,,0.00012133587173485283,,50438,15.64,10057.3
15250,3.7124,41.0,3.8882,48.8,0.0001205276429968996,,45785,15.64,10093.1
15300,3.5696,35.5,,,0.00011972119838316188,,50496,15.64,10125.5
15350,3.9004,49.4,,,0.00011891657024626197,,50434,15.64,10158.0
15400,3.9463,51.7,,,0.00011811379086594925,,50437,15.64,10190.5
15450,3.9035,49.6,,,0.00011731289244780566,,50440,15.64,10223.0
15500,3.8937,49.1,3.958,52.4,0.00011651390712195322,,46634,15.64,10258.1
15550,3.7816,43.9,,,0.00011571686694176554,,50440,15.64,10290.6
15600,3.8551,47.2,,,0.00011492180388258134,,50429,15.64,10323.1
15650,3.8803,48.4,,,0.00011412874984042227,,50442,15.64,10355.6
15700,3.7646,43.1,,,0.00011333773663071286,,50437,15.64,10388.0
15750,4.1572,63.9,3.9256,50.7,0.00011254879598700444,,46669,15.64,10423.2
